src_id,src_numeric_id,name_en,name_ar,category,tier,institution,url,url_raw,access_method,update_frequency,cadence,license,reliability_score,geographic_coverage,coverage,typical_lag_days,typical_lag_text,auth,data_fields,ingestion_method,yeto_usage,yeto_module,granularity_caveats,notes,tags,origin,status,active
SRC-001,1,World Bank Macro PovcalNet,,Poverty & Distribution,T1,World Bank,https://api.worldbank.org/v2/country/YEM/indicator/SI.POV.DDAY?format=json,[PovcalNet API](https://api.worldbank.org/v2/country/YEM/indicator/SI.POV.DDAY?format=json),API,Annual,ANNUAL,,,Global,,,,,,connector_api,,,,"Provides poverty headcount ratios (US$1.90, US$3.20, US$5.50 lines) and income distribution data.  Tag as “World Bank – PovcalNet”.",Poverty & Distribution,extended,ACTIVE,True
SRC-002,2,World Bank International Debt Statistics,,Debt,T1,World Bank,https://api.worldbank.org/v2/country/YEM/indicator/DT.TDS.DECT.CD?format=json,[World Bank IDS API](https://api.worldbank.org/v2/country/YEM/indicator/DT.TDS.DECT.CD?format=json),API,Annual,ANNUAL,,,Global,,,,,,connector_api,,,,External debt stocks and debt service flows.,Debt,extended,ACTIVE,True
SRC-003,3,World Bank Global Economic Monitor (GEM),,Macro/trade,T1,World Bank,https://worldbank.org/gem-api,[GEM API](https://worldbank.org/gem-api) (*requires key*),API,Monthly,MONTHLY,,,Global,,,,,,connector_api,,,,"Commodities prices, remittances flows, and macro indicators used in GEM; part of WBG but requires registration.",Macro/trade,extended,ACTIVE,True
SRC-004,4,IMF World Economic Outlook (WEO),,Forecasts,T1,International Monetary Fund,https://www.imf.org/en/Publications/WEO,[IMF WEO API](https://www.imf.org/en/Publications/WEO) (download via SDMX),WEB,"Biannual (Apr, Oct)",ANNUAL,,,Global,,,,,,connector_web,,,,"Provides macro forecasts for GDP growth, inflation, fiscal balance; also baseline and scenario projections.",Forecasts,extended,ACTIVE,True
SRC-005,5,IMF Fiscal Monitor,,Fiscal,T1,International Monetary Fund,https://www.imf.org/en/Publications/FM,[Fiscal Monitor PDF](https://www.imf.org/en/Publications/FM),WEB,Biannual,ANNUAL,,,Global,,,,,,connector_web,,,,Contextual narrative on fiscal developments; includes tables of expenditure and revenue for some countries.  Ingest as documents.,Fiscal,extended,ACTIVE,True
SRC-006,6,Arab Monetary Fund (AMF),,Macro & Monetary,T1,,https://amf.org.ae,[AMF Economic Data](https://amf.org.ae),WEB,Quarterly/Annual,QUARTERLY,,,Regional (MENA),,,,,,connector_web,,,,Aggregated macro statistics for Arab countries; may provide monetary aggregates and inflation proxies.  *Check licensing.*,Macro & Monetary,extended,ACTIVE,True
SRC-007,7,UN ESCWA (Arab Countries Macro Data),,Macro/Socio-economic,T1,,https://data.unescwa.org/,[ESCWA Data Portal](https://data.unescwa.org/),WEB,Annual,ANNUAL,,,Regional,,,,,,connector_web,,,,"Socio-economic indicators for MENA; includes GDP, inflation, unemployment, energy.  API or bulk download available; license open with attribution.",Macro/Socio-economic,extended,ACTIVE,True
SRC-008,8,Trading Economics,,Macro & Market,T3,,https://api.tradingeconomics.com/yemen/indicators,[TradingEconomics API](https://api.tradingeconomics.com/yemen/indicators),API,Daily/Weekly,DAILY,,,Global,,,,,,connector_api,,,,"Aggregates official and market data (CPI, FX, interest rates).  Free tier requires registration; verify data provenance.  *Check licensing.*",Macro & Market,extended,ACTIVE,True
SRC-009,9,Yemen Central Statistical Office (CSO) Yearbooks,,Macro & Demographics,T1,Central Statistical Organization (Yemen),https://cso-yemen.org,[Archived PDFs](https://cso-yemen.org),WEB,Pre‑2014 annual,ANNUAL,,,National,,,,,,connector_web,,,,"Official statistical yearbooks covering GDP by sector, CPI, population, education, health (up to 2014).  Ingest scanned PDFs; extract tables via OCR.  Coverage ends before conflict.",Macro & Demographics,extended,ACTIVE,True
SRC-010,10,UN Population Division World Population Prospects,,Demographics,T1,United Nations,https://population.un.org/dataportal/about/dataapi,[UN WPP API](https://population.un.org/dataportal/about/dataapi),API,Annual,ANNUAL,,,Global,,,,,,connector_api,,,,"Standard demographic projections; includes fertility, mortality, migration.  Use for cross‑checking CSO and UNFPA projections.",Demographics,extended,ACTIVE,True
SRC-011,11,UN Human Development Reports,,HDI and multi-dimensional indices,T1,,https://hdr.undp.org/data,[HDR Data](https://hdr.undp.org/data),WEB,Annual,ANNUAL,,,Global,,,,,,connector_web,,,,"Includes HDI, GII, and Multidimensional Poverty Index (MPI) for Yemen.  Ingest for context.",HDI and multi-dimensional indices,extended,ACTIVE,True
SRC-012,12,World Bank Doing Business (archived),,Business environment,T1,World Bank,https://openknowledge.worldbank.org/handle/10986/34744,[WB Doing Business data](https://openknowledge.worldbank.org/handle/10986/34744),WEB,Annual (discontinued 2021),ANNUAL,,,Global,,,,,,connector_web,,,,"Ease-of-doing-business rankings, cost of starting a business, etc.  Useful for private sector context.",Business environment,extended,ACTIVE,True
SRC-013,13,World Bank Enterprise Surveys 2010 Yemen,,Enterprise survey,T1,World Bank,https://enterprise-surveys.org/en/data/exploreeconomies/2010/yemen,[Enterprise Surveys Data](https://enterprise-surveys.org/en/data/exploreeconomies/2010/yemen),WEB,One‑off (2010),IRREGULAR,,,Global,,,,,,connector_web,,,,"Survey microdata on firm characteristics, performance, business environment; requires registration.",Enterprise survey,extended,ACTIVE,True
SRC-014,14,UN Global SDG Indicators Database,,SDG indicators,T1,United Nations,https://unstats.un.org/SDGAPI/v1,[UN SDG API](https://unstats.un.org/SDGAPI/v1),API,Annual,ANNUAL,,,Global,,,,,,connector_api,,,,"Includes SDG indicators relevant to Yemen (poverty, health, education).",SDG indicators,extended,ACTIVE,True
SRC-015,15,University of Sheffield Night‑Time Lights Arabia,,Proxy for economic activity,T2,,https://eogdata.mines.edu/products/ngsNightLight,[Night Lights Data via EOG](https://eogdata.mines.edu/products/ngsNightLight),WEB,Monthly,MONTHLY,,,Regional,,,,,,connector_web,,,,Provides VIIRS night‑time lights composites aggregated by country or custom shape; used as economic proxy.  *Open data.*,Proxy for economic activity,extended,ACTIVE,True
SRC-016,16,World Food Programme VAM Commodity Price API,,Food prices,T1,WFP,https://api.wfp.org/v1/prices,[WFP VAM API](https://api.wfp.org/v1/prices) (*where supported*),API,Monthly,MONTHLY,,,Global,,,,,,connector_api,,,,Provides market price data for food and fuel commodities.  Not all countries have API; check for Yemen.,Food prices,extended,ACTIVE,True
SRC-017,17,FAO Food Price Monitoring Bulletins,,Food prices,T1,FAO,https://www.fao.org/giews/food-prices/tool-publications/en/,[FAO GIEWS](https://www.fao.org/giews/food-prices/tool-publications/en/),WEB,Monthly/Quarterly,MONTHLY,,,Global,,,,,,connector_web,,,,Bulletins summarise staple food price trends across countries; includes Yemen; can complement WFP data.,Food prices,extended,ACTIVE,True
SRC-018,18,SEMC (Yemen Studies & Economic Media Center) Price Bulletins,,Market prices,T3,,https://economicmedia.net,[SEMC Reports](https://economicmedia.net),WEB,Monthly,MONTHLY,,,National NGO,,,,,,connector_web,,,,"SEMC publishes price bulletins for staples (flour, fuel, gas) in Yemen’s main cities.  Integrate via PDF scraping.",Market prices,extended,ACTIVE,True
SRC-019,19,FEWS NET Monthly Price Bulletins,,Food security,UNKNOWN,,https://fews.net/west-africa/yemen,[FEWS NET Data](https://fews.net/west-africa/yemen),WEB,Monthly,MONTHLY,,,Global,,,,,,connector_web,,,,Famine Early Warning Systems Network provides market price bulletins and integrated food security outlooks; includes Yemen; open data.,Food security,extended,ACTIVE,True
SRC-020,20,Integrated Food Security Phase Classification (IPC) Analysis,,Food security severity,UNKNOWN,,https://www.ipcinfo.org,[IPC Info](https://www.ipcinfo.org),WEB,Semi‑annual,ANNUAL,,,Global,,,,,,connector_web,,,,Provides classification of food insecurity phases per governorate; narrative and maps; ingest for context.,Food security severity,extended,ACTIVE,True
SRC-021,21,UNICEF Multiple Indicator Cluster Surveys (MICS) – Yemen,,Nutrition & household expenditure,T1,,https://mics.unicef.org,[MICS Data](https://mics.unicef.org),WEB,Occasional (latest pre‑conflict),IRREGULAR,,,Global,,,,,,connector_web,,,,"Household surveys capturing nutrition, child health, and some expenditure data.  Yemen’s last MICS in 2006; still useful for baseline.",Nutrition & household expenditure,extended,ACTIVE,True
SRC-022,22,World Health Organization Global Health Observatory,,Health prices & medical costs,UNKNOWN,,https://ghoapi.azureedge.net,[WHO GHO API](https://ghoapi.azureedge.net),API,Annual,ANNUAL,,,Global,,,,,,connector_api,,,,"Provides health expenditure per capita, out‑of‑pocket spending, and health system indicators.  Use as proxy for cost of health.",Health prices & medical costs,extended,ACTIVE,True
SRC-023,23,Central Bank of Yemen FX Auction Archive (Aden),,Official FX auctions,T1,Central Bank of Yemen,http://cby-ye.com,[CBY Aden site](http://cby-ye.com),WEB,Weekly,WEEKLY,,,National,,,,,,connector_web,,,,Already in master registry; keep.,Official FX auctions,extended,ACTIVE,True
SRC-024,24,IMF Direction of Trade Statistics (DOTS),,Trade & FX proxies,T1,International Monetary Fund,https://sdmx.imf.org/,[IMF DOTS API](https://sdmx.imf.org/),API,Quarterly,QUARTERLY,,,Global,,,,,,connector_api,,,,Provides country‑pair trade flows used to infer FX positions; complement Comtrade.,Trade & FX proxies,extended,ACTIVE,True
SRC-025,25,Bank for International Settlements (BIS) Triennial Central Bank Survey,,FX turnover,T1,,https://stats.bis.org/statistics,[BIS Statistics](https://stats.bis.org/statistics),WEB,Every 3 years,IRREGULAR,,,Global,,,,,,connector_web,,,,"Provides data on global currency trading, including USD/YER turnover if reported; low coverage; useful for context.",FX turnover,extended,ACTIVE,True
SRC-026,26,International Finance Corporation (IFC) Investments,,Private finance,UNKNOWN,,https://disclosures.ifc.org,[IFC Projects Portal](https://disclosures.ifc.org),WEB,Continuous,IRREGULAR,,,Global,,,,,,connector_web,,,,"Shows IFC investments and advisory services in Yemen; extract investment amounts, dates, sectors.",Private finance,extended,ACTIVE,True
SRC-027,27,Arab Trade Financing Program (ATFP),,Trade finance,T1,,https://www.atfp.org,[ATFP Annual reports](https://www.atfp.org),WEB,Annual,ANNUAL,,,Regional,,,,,,connector_web,,,,Contains statistics on trade finance extended to Yemeni banks; good for understanding import finance availability.,Trade finance,extended,ACTIVE,True
SRC-028,28,World Bank Enterprise Finance Gap Database,,SME finance,T1,World Bank,https://www.worldbank.org/en/programs/credit-info-access/brief/enterprise-finance-gap-database,[Finance Gap Database](https://www.worldbank.org/en/programs/credit-info-access/brief/enterprise-finance-gap-database),WEB,Periodic,IRREGULAR,,,Global,,,,,,connector_web,,,,Estimates financing gaps for SMEs; includes Yemen; can supplement microfinance data.,SME finance,extended,ACTIVE,True
SRC-029,29,FinDev Gateway,,Microfinance & financial inclusion,UNKNOWN,,https://finDevgateway.org,[FinDev Data](https://finDevgateway.org),WEB,Occasional,IRREGULAR,,,Global,,,,,,connector_web,,,,Reports and datasets on microfinance; search for Yemen; cross‑reference with YMN.,Microfinance & financial inclusion,extended,ACTIVE,True
SRC-030,30,FATF (Financial Action Task Force) Grey List/Mutual Evaluation,,AML/CFT,UNKNOWN,FATF,https://www.fatf-gafi.org,[FATF Documents](https://www.fatf-gafi.org),WEB,Occasional,IRREGULAR,,,Global,,,,,,connector_web,,,,Reports on Yemen’s AML/CFT compliance; relevant for banking sector risk; narrative only.,AML/CFT,extended,ACTIVE,True
SRC-031,31,MENA Financial Inclusion Dashboard (World Bank / Arab Monetary Fund),,Inclusion,T1,World Bank,https://arabfinancialinclusion.info,[MENA FI data](https://arabfinancialinclusion.info),WEB,Annual,ANNUAL,,,Regional,,,,,,connector_web,,,,"Provides indicators on access to finance, account penetration, digital payments.",Inclusion,extended,ACTIVE,True
SRC-032,32,Payment Rail Maps (GSMA & UNCDF),,Mobile money and payments,UNKNOWN,,https://www.gsma.com/mobilemoneymetrics/,[GSMA Mobile Money Metrics](https://www.gsma.com/mobilemoneymetrics/),WEB,Annual,ANNUAL,,,Global,,,,,,connector_web,,,,Data on mobile money deployments and transaction volumes; may cover Yemen; cross‑check with mobile operators.,Mobile money and payments,extended,ACTIVE,True
SRC-033,33,Sana’a Center Budget/Banking Analysis Papers,,Banking & Public Finance,UNKNOWN,,https://sanaacenter.org/publications,[Sana’a Center Publications](https://sanaacenter.org/publications),WEB,Irregular,IRREGULAR,,,NGO,,,,,,connector_web,,,,"Analytical papers on the banking sector, bank splits, liquidity; ingest as documents.",Banking & Public Finance,extended,ACTIVE,True
SRC-034,34,Transparency International Corruption Perceptions Index,,Governance,UNKNOWN,,https://www.transparency.org/en/cpi,[CPI Data](https://www.transparency.org/en/cpi),WEB,Annual,ANNUAL,,,Global,,,,,,connector_web,,,,Global ranking of corruption perceptions; includes Yemen; used to benchmark governance environment.,Governance,extended,ACTIVE,True
SRC-035,35,World Bank BOOST Public Finance Database,,Public finance,T1,World Bank,https://boost.worldbank.org,[BOOST Data](https://boost.worldbank.org),WEB,Annual (varies by country),ANNUAL,,,Global,,,,,,connector_web,,,,Contains government expenditure and revenue data by sector for some countries; check if Yemen pre‑2014 data exists.,Public finance,extended,ACTIVE,True
SRC-036,36,Open Budget Survey (International Budget Partnership),,Budget transparency,UNKNOWN,,https://internationalbudget.org/open-budget-survey/,[OBS Data](https://internationalbudget.org/open-budget-survey/),WEB,Biannual,ANNUAL,,,Global,,,,,,connector_web,,,,"Scores budget transparency, participation and oversight; Yemen scored 0 in recent years.",Budget transparency,extended,ACTIVE,True
SRC-037,37,OECD International Development Statistics (CRS),,Aid & budget support,T1,,https://stats.oecd.org,[OECD CRS](https://stats.oecd.org),WEB,Annual,ANNUAL,,,Global,,,,,,connector_web,,,,Donor funding by sector/project; includes aid flows to Yemen not captured in FTS.,Aid & budget support,extended,ACTIVE,True
SRC-038,38,UN General Assembly Resolutions & Security Council Resolutions,,Political & sanctions,T1,,https://undocs.org,[UN Documents](https://undocs.org),WEB,Continuous,IRREGULAR,,,Global,,,,,,connector_web,,,,"Provide official sanction mandates, budget authorisations for UN missions; treat as legal documents; link to events.",Political & sanctions,extended,ACTIVE,True
SRC-039,39,Yemen Port Authority & UNVIM Import Reports,,Port throughput,UNKNOWN,,https://www.unvimonitor.org,[UNVIM monthly updates](https://www.unvimonitor.org),WEB,Monthly,MONTHLY,,,National/UN,,,,,,connector_web,,,,"Data on fuel and food shipments through Hodeidah, Salif and Ras Isa ports; used as trade and supply proxies.",Port throughput,extended,ACTIVE,True
SRC-040,40,International Budget Partnership – Yemen,,Civil society,UNKNOWN,,https://internationalbudget.org,[IBP papers](https://internationalbudget.org),WEB,Occasional,IRREGULAR,,,Global,,,,,,connector_web,,,,Reports on Yemen’s budget process and transparency; narrative.,Civil society,extended,ACTIVE,True
SRC-041,41,Tax Justice Network Financial Secrecy Index,,Offshore finance,UNKNOWN,,https://fsi.taxjustice.net,[FSI Data](https://fsi.taxjustice.net),WEB,Biennial,IRREGULAR,,,Global,,,,,,connector_web,,,,Provides ranking of secrecy jurisdictions; Yemen may be included; used for context.,Offshore finance,extended,ACTIVE,True
SRC-042,42,United Nations Panel of Experts on Yemen Reports,,Sanctions & compliance,T1,,https://www.undocs.org,[UN Panel Reports via UN DOCS](https://www.undocs.org),WEB,Annual,ANNUAL,,,Global,,,,,,connector_web,,,,"Investigates implementation of sanctions, arms embargo violations, illicit finance; includes detailed annexes.  Ingest as documents (sensitive).",Sanctions & compliance,extended,ACTIVE,True
SRC-043,43,World Trade Organization (WTO) Tariff Database,,Tariffs & trade policy,UNKNOWN,,https://www.wto.org/english/tratop_e/tariffs_e/tariff_data_e.htm,[WTO Tariff Data](https://www.wto.org/english/tratop_e/tariffs_e/tariff_data_e.htm),WEB,Irregular,IRREGULAR,,,Global,,,,,,connector_web,,,,Contains applied and bound tariffs; Yemen not WTO member but data may exist via Gulf Cooperation Council; treat as context.,Tariffs & trade policy,extended,ACTIVE,True
SRC-044,44,UN Liner Shipping Connectivity Index (LSCI),,Trade infrastructure,T1,UNCTAD,https://unctadstat.unctad.org,[UNCTAD LSCI](https://unctadstat.unctad.org),WEB,Annual,ANNUAL,,,Global,,,,,,connector_web,,,,Measures maritime connectivity; Yemen’s score can be used as proxy for trade facilitation and shipping disruptions.,Trade infrastructure,extended,ACTIVE,True
SRC-045,45,UN Vehicle Registration Data (if available),,Transport & commerce,T1,,https://unece.org,[UNECE Vehicle Database](https://unece.org),WEB,Annual,ANNUAL,,,Global,,,,,,connector_web,,,,May provide vehicle registrations for Yemen; relevant to transport sector.,Transport & commerce,extended,ACTIVE,True
SRC-046,46,World Bank Logistics Performance Index (LPI),,Trade facilitation,T1,World Bank,https://lpi.worldbank.org/,[LPI Data](https://lpi.worldbank.org/),WEB,Biennial,IRREGULAR,,,Global,,,,,,connector_web,,,,Ranking of countries’ logistics performance; Yemen historically scored low; use as context.,Trade facilitation,extended,ACTIVE,True
SRC-047,47,Economic Research Forum (ERF) Trade Papers,,Research,UNKNOWN,,https://erf.org.eg/publications,[ERF Publications](https://erf.org.eg/publications),WEB,Occasional,IRREGULAR,,,Regional,,,,,,connector_web,,,,Scholarly papers on trade and commerce in the Middle East; some on Yemen; ingest for narrative context.,Research,extended,ACTIVE,True
SRC-048,48,ICCIA (Islamic Chamber of Commerce & Industry),,Private sector trade,UNKNOWN,,https://iccia.com,[ICCIA reports](https://iccia.com),WEB,Annual,ANNUAL,,,Regional,,,,,,connector_web,,,,Reports on intra‑OIC trade; may include Yemen’s trade ties with Islamic countries.,Private sector trade,extended,ACTIVE,True
SRC-049,49,US Energy Information Administration (EIA) International Data,,Energy,T1,US Energy Information Administration (EIA),https://www.eia.gov/international/data/,[EIA International Data](https://www.eia.gov/international/data/),WEB,Annual,ANNUAL,,,Global,,,,,,connector_web,,,,"Provides country energy statistics: oil production/consumption, exports, CO₂ emissions; limited for Yemen but useful for global context.",Energy,extended,ACTIVE,True
SRC-050,50,BP Statistical Review of World Energy,,Energy,UNKNOWN,,https://www.bp.com,[BP Review](https://www.bp.com),WEB,Annual,ANNUAL,,,Global/Commercial,,,,,,connector_web,,,,Contains global energy production and consumption data; includes Yemen (oil production numbers).  *Check licensing.*,Energy,extended,ACTIVE,True
SRC-051,51,OPEC Annual Statistical Bulletin,,Oil market,T1,OPEC,https://asb.opec.org,[OPEC ASB](https://asb.opec.org),WEB,Annual,ANNUAL,,,Global/Regional,,,,,,connector_web,,,,Provides detailed crude oil production by member countries; Yemen not a member but regionally relevant; can cross‑check supply.,Oil market,extended,ACTIVE,True
SRC-052,52,ICE Brent Crude Price,,Oil price,UNKNOWN,,https://www.theice.com/products/219/Brent-Crude-Futures,[ICE Futures API](https://www.theice.com/products/219/Brent-Crude-Futures),WEB,Daily,DAILY,,,Global,,,,,,connector_web,,,,International benchmark oil price; necessary for scenario modeling; license required for real‑time feed; use public index if available.,Oil price,extended,ACTIVE,True
SRC-053,53,UN DP Partnership for Renewable Energy in Yemen,,Energy & development,T1,,https://www.undp.org/yemen/projects,[UNDP Projects](https://www.undp.org/yemen/projects),WEB,Occasional,IRREGULAR,,,Global/UN,,,,,,connector_web,,,,Documents renewable energy projects (solar micro‑grids); includes installation numbers and beneficiaries; parse for impact metrics.,Energy & development,extended,ACTIVE,True
SRC-054,54,University of Maryland Integrated Public Use Microdata Series (IPUMS) – Energy Use,,Energy use proxies,UNKNOWN,,https://international.ipums.org,[IPUMS Microdata](https://international.ipums.org),WEB,Census waves (not recent),IRREGULAR,,,Global,,,,,,connector_web,,,,Provides microdata on household energy use from previous censuses; Yemen 2004 census microdata available; useful for baseline energy access.,Energy use proxies,extended,ACTIVE,True
SRC-055,55,World Bank Jobs Diagnostic for Yemen (2015),,Labor & employment,T1,World Bank,https://documents.worldbank.org,[WB Jobs Diagnostic](https://documents.worldbank.org),WEB,One‑off,IRREGULAR,,,Global,,,,,,connector_web,,,,"Provides labour force statistics, unemployment rates, wages, and structural unemployment analysis; baseline before conflict.",Labor & employment,extended,ACTIVE,True
SRC-056,56,UNDP Yemen Economic Resilience & Livelihoods Studies,,Jobs & cash transfers,T1,,https://www.undp.org/yemen,[UNDP Yemen site](https://www.undp.org/yemen),WEB,Occasional,IRREGULAR,,,Global/UN,,,,,,connector_web,,,,"Reports on cash-for-work programmes, livelihood outcomes; may include small datasets on job creation.",Jobs & cash transfers,extended,ACTIVE,True
SRC-057,57,ILO Regional Office Studies,,Labor rights,T1,,https://www.ilo.org/beirut/,[ILO Publications](https://www.ilo.org/beirut/),WEB,Occasional,IRREGULAR,,,Global,,,,,,connector_web,,,,Reports on labour market dynamics in Arab region; may include Yemen; narrative but important context.,Labor rights,extended,ACTIVE,True
SRC-058,58,GSMA Mobile Gender Gap Report,,Digital gender gap & labour,UNKNOWN,,https://www.gsma.com/mobilefordevelopment,[GSMA Reports](https://www.gsma.com/mobilefordevelopment),WEB,Annual,ANNUAL,,,Global,,,,,,connector_web,,,,Contains data on mobile ownership and usage by gender; proxy for access to digital labour markets; may include Yemen via modelling.,Digital gender gap & labour,extended,ACTIVE,True
SRC-059,59,UNFPA Youth & NEET Studies,,Youth unemployment,T1,,https://yemen.unfpa.org,[UNFPA publications](https://yemen.unfpa.org),WEB,Occasional,IRREGULAR,,,Global/UN,,,,,,connector_web,,,,"Studies on youth not in employment, education or training (NEET), and demographic dividends.",Youth unemployment,extended,ACTIVE,True
SRC-060,60,The World Bank Global Wage Database,,Wages,T1,World Bank,https://data.worldbank.org/indicator/SL.EMP.WORK.ZS,[Wage indicators](https://data.worldbank.org/indicator/SL.EMP.WORK.ZS),WEB,Annual,ANNUAL,,,Global,,,,,,connector_web,,,,Contains wages/earnings but limited for Yemen; still note as potential source.,Wages,extended,ACTIVE,True
SRC-061,61,AidData (William & Mary),,Aid & projects,UNKNOWN,,https://aiddata.org/datasets,[AidData Database](https://aiddata.org/datasets),WEB,Annual/Continuous,ANNUAL,,,Global,,,,,,connector_web,,,,Large database of development finance; includes some Yemen projects with geolocation; can augment IATI/FTS; registration required.,Aid & projects,extended,ACTIVE,True
SRC-062,62,World Bank Projects & Operations API,,Development projects,T1,World Bank,https://api.worldbank.org/v2/country/YEM/project?format=json,[WB Projects API](https://api.worldbank.org/v2/country/YEM/project?format=json),API,Continuous,IRREGULAR,,,Global,,,,,,connector_api,,,,"Already in master registry; includes project titles, funding, status; integrate fully.",Development projects,extended,ACTIVE,True
SRC-063,63,IFAD (International Fund for Agricultural Development) Projects,,Rural development,UNKNOWN,,https://www.ifad.org/en/web/operations/w/country/yemen,[IFAD Project Database](https://www.ifad.org/en/web/operations/w/country/yemen),WEB,Continuous,IRREGULAR,,,Global,,,,,,connector_web,,,,"Lists IFAD-funded projects (e.g., fisheries, irrigation, smallholder support); parse budgets and beneficiaries.",Rural development,extended,ACTIVE,True
SRC-064,64,Islamic Development Bank (IsDB) Project Data,,Development projects,UNKNOWN,,https://www.isdb.org/projects,[IsDB Projects](https://www.isdb.org/projects),WEB,Continuous,IRREGULAR,,,Regional,,,,,,connector_web,,,,Contains approved and active projects in Yemen; extract funding amounts and sectors; licensing open.,Development projects,extended,ACTIVE,True
SRC-065,65,USAID (US Agency for International Development) Assistance,,Development/humanitarian aid,UNKNOWN,,https://www.usaid.gov/yemen,[USAID Yemen page](https://www.usaid.gov/yemen),WEB,Continuous,IRREGULAR,,,Global,,,,,,connector_web,,,,Contains press releases and project summaries; budget info may be limited; complement IATI.,Development/humanitarian aid,extended,ACTIVE,True
