REQ_ID,Priority,Description,ImplementationPaths,Tests,Docs,Status
REQ-0001,P0,Bilingual Support (Arabic-First),"client/src/pages/*.tsx, client/src/components/Header.tsx",server/yeto.test.ts,docs/REQ_INDEX.md,Implemented
REQ-0002,P0,Evidence-Only Rule,"client/src/pages/AIAssistant.tsx, server/routers.ts",server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0003,P0,No PII / Safety,server/routers.ts,server/yeto.test.ts,docs/REQ_INDEX.md,Implemented
REQ-0004,P1,Domain Configuration,docs/BLOCKERS_AND_INPUTS.md,N/A,docs/DEPLOYMENT_RUNBOOK.md,Planned
REQ-0005,P0,Numeric Integrity in Translation,server/db.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Planned
REQ-0010,P0,Mockup Parity,"client/src/pages/*.tsx, client/src/index.css",E2E tests,docs/MOCKUP_MAP.md,In Progress
REQ-0011,P1,Brand Style Tokens,client/src/index.css,Visual tests,docs/STYLE_GUIDE.md,Implemented
REQ-0012,P0,KPI Cards with Evidence,client/src/pages/Dashboard.tsx,server/yeto.test.ts,docs/MOCKUP_MAP.md,Implemented
REQ-0013,P1,Filter Panels,"client/src/pages/DataRepository.tsx, client/src/pages/Dashboard.tsx",E2E tests,docs/USER_JOURNEYS.md,Implemented
REQ-0014,P1,Chart Export Controls,client/src/pages/Dashboard.tsx,E2E tests,docs/MOCKUP_MAP.md,Implemented
REQ-0015,P1,Accessibility (WCAG 2.2 AA),client/src/components/*.tsx,Accessibility audit,docs/STYLE_GUIDE.md,In Progress
REQ-0016,P1,Image Licensing,drizzle/schema.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Planned
REQ-0020,P0,Public Routes,client/src/App.tsx,E2E tests,docs/REQ_INDEX.md,Implemented
REQ-0021,P0,Authenticated App Routes,client/src/App.tsx,E2E tests,docs/REQ_INDEX.md,Implemented
REQ-0022,P1,Partner Portal Routes,"client/src/App.tsx, client/src/pages/PartnerPortal.tsx",E2E tests,docs/PARTNER_MANUAL.md,Implemented
REQ-0023,P0,Admin Console Routes,"client/src/App.tsx, client/src/pages/AdminPortal.tsx",E2E tests,docs/ADMIN_MANUAL.md,Implemented
REQ-0030,P0,Provenance Ledger,drizzle/schema.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0031,P0,Evidence Packs,server/db.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,In Progress
REQ-0032,P1,Contradiction Detector,server/db.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Planned
REQ-0033,P1,Vintages / Time Travel,drizzle/schema.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Planned
REQ-0034,P1,Corrections Workflow,"client/src/pages/Corrections.tsx, server/routers.ts",E2E tests,docs/USER_JOURNEYS.md,Planned
REQ-0040,P0,Core Tables,drizzle/schema.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0041,P0,Document Tables,drizzle/schema.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0042,P0,Indicator Tables,drizzle/schema.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0043,P0,Entity Tables,drizzle/schema.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0044,P0,User Tables,drizzle/schema.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0050,P0,Connector Interface,server/db.ts,server/yeto.test.ts,docs/DATA_SOURCE_REGISTER.md,Planned
REQ-0051,P1,Backfill 2010-Present,server/seed.mjs,server/yeto.test.ts,docs/DATA_SOURCE_REGISTER.md,Planned
REQ-0052,P0,QA Validation,server/db.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Planned
REQ-0053,P1,Data Gap System,drizzle/schema.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0060,P0,World Bank Connector,server/db.ts,server/yeto.test.ts,docs/DATA_SOURCE_REGISTER.md,Planned
REQ-0061,P0,OCHA FTS Connector,server/db.ts,server/yeto.test.ts,docs/DATA_SOURCE_REGISTER.md,Planned
REQ-0062,P1,HDX HAPI Connector,server/db.ts,server/yeto.test.ts,docs/DATA_SOURCE_REGISTER.md,Planned
REQ-0063,P1,ReliefWeb Connector,server/db.ts,server/yeto.test.ts,docs/DATA_SOURCE_REGISTER.md,Planned
REQ-0064,P1,Sanctions Lists,drizzle/schema.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Planned
REQ-0070,P0,RAG-Only Rule,"server/routers.ts, client/src/pages/AIAssistant.tsx",server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0071,P0,Answer Template,client/src/pages/AIAssistant.tsx,E2E tests,docs/USER_JOURNEYS.md,Implemented
REQ-0072,P0,Show Me How You Know This,client/src/pages/Dashboard.tsx,E2E tests,docs/MOCKUP_MAP.md,In Progress
REQ-0073,P0,Safety Refusals,server/routers.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0080,P0,HSA Group Profile,client/src/pages/Entities.tsx,server/yeto.test.ts,docs/REQ_INDEX.md,Planned
REQ-0081,P1,Major Commercial Entities,client/src/pages/Entities.tsx,server/yeto.test.ts,docs/REQ_INDEX.md,Planned
REQ-0090,P1,Auto-Draft Publications,server/routers.ts,server/yeto.test.ts,docs/ADMIN_MANUAL.md,Planned
REQ-0091,P1,Approval Workflow,client/src/pages/AdminPortal.tsx,E2E tests,docs/ADMIN_MANUAL.md,In Progress
REQ-0092,P0,Bilingual Output,server/db.ts,server/yeto.test.ts,docs/DATA_GOVERNANCE.md,Implemented
REQ-0100,P1,Subscription Tiers,"client/src/pages/Pricing.tsx, drizzle/schema.ts",E2E tests,docs/SUBSCRIBER_MANUAL.md,Implemented
REQ-0101,P0,RBAC/ABAC,server/routers.ts,server/yeto.test.ts,docs/ADMIN_MANUAL.md,In Progress
REQ-0110,P0,Unit Tests,server/*.test.ts,CI pipeline,docs/WORKPLAN.md,Implemented
REQ-0111,P1,E2E Tests,tests/e2e/*.ts,CI pipeline,docs/WORKPLAN.md,Planned
REQ-0112,P0,Data QA Tests,server/yeto.test.ts,CI pipeline,docs/DATA_GOVERNANCE.md,Implemented
REQ-0120,P0,Docker Compose,docker-compose.yml,CI pipeline,docs/DEPLOYMENT_RUNBOOK.md,Planned
REQ-0121,P1,Bootstrap Scripts,scripts/*.sh,CI pipeline,docs/DEPLOYMENT_RUNBOOK.md,Planned
REQ-0122,P1,Runbooks,docs/*.md,Manual review,docs/MASTER_INDEX.md,In Progress
REQ-0130,P1,Admin Manual,docs/ADMIN_MANUAL.md,Manual review,docs/MASTER_INDEX.md,Planned
REQ-0131,P1,API Reference,docs/API_REFERENCE.md,Manual review,docs/MASTER_INDEX.md,Planned
REQ-0132,P0,Final Self-Audit,docs/FINAL_SELF_AUDIT.md,Manual review,docs/MASTER_INDEX.md,Planned
