Title,Date,URL,Key Findings,Economic Indicators
"Yemen: increased DFA intervention in the private sector in DFA-controlled areas",29 February 2024,https://www.acaps.org/fileadmin/Data_Product/Main_media/20240229_ACAPS_Yemen_Analysis_Hub_Increased_DFA_intervention_in_the_private_sector_.pdf,"The DFA is actively promoting and incentivising imports via the Red Sea ports under its control by offering benefits such as covering demurrage costs and providing advantageous customs rates;The regulatory interventions of CBY-Sana’a, including the imposition of higher capital requirements, reduce liquidity and disrupt operations, hindering private sector growth;The enforcement of the DFA Ministry of Industry and Trade (MOIT) of strict food price controls in its areas of control creates a mismatch between official prices and market realities, pressuring vendors and risking insolvency for many businesses;The armed DFA takeover of the SCCI and appointment of new leadership signal a shift in private sector dynamics.","Exchange rates,Customs rates,LPG prices,Food prices,Import/export volumes,Demurrage costs,War risk insurance costs,Transportation costs,Container traffic"
"Yemen: import flows following the escalation in the Red Sea",19 January 2024,https://www.acaps.org/fileadmin/Data_Product/Main_media/20240119_ACAPS_Yemen_analysis_hub_Import_flows_following_the_escalation_in_the_Red_Sea.pdf,"There have been no significant changes in import flows, especially in the Red Sea ports as at the beginning of January;The price of gasoline and of wheat flour in IRG areas increased minimally from early December to January more likely because of the continued depreciation on the Yemeni rial (YER) in IRG areas;The war risk premium has increased to between 0.75% and 1%.","Food imports,Fuel imports,Food prices,Fuel prices,War risk premiums"
"Yemen: the major shift in liquefied petroleum gas (LPG) dynamics since April 2023",07 December 2023,https://www.acaps.org/fileadmin/Data_Product/Main_media/20231207_ACAPS_Yemen_Analysis_Hub_the_major_shift_in_LPG_dynamics_since_2013.pdf,"Between April–September 2023, LPG import through Red Sea ports in Yemen, specifically Al Hodeidah and Ras Issa ports, significantly increased to 275,745MT;The DFA imposed a ban in May 2023 on the use of LPG produced in Ma’rib;By reducing the use of Ma’rib LPG, the DFA became more reliant on imported LPG;The DFA reduced LPG prices in Sana’a in July 2023.","LPG import volumes,LPG production levels,LPG prices,Exchange rates,GDP"
"Women’s economic empowerment in the Yemeni context",06 June 2023,https://www.acaps.org/fileadmin/Data_Product/Main_media/20230606_acaps_thematic_report_yemen_womens_economic_empowerment_in_the_yemeni_context.pdf,"WEE programmes in Yemen can contribute to the economic independence of women;Major barriers to WEE in Yemen include women’s lack of access to financial resources, social and religious norms that perpetuate gender inequalities, reduced market access, and insecurity.","Female labour force participation rate,Gender inequality,Access to financial resources,Child marriage"
"Yemen Economic Tracking Initiative: Bimonthly Economic Update (January-February 2023)",13 April 2023,https://www.acaps.org/fileadmin/Data_Product/Main_media/20230413_acaps_yemen_analysis_hub_yeti_bimonthly_economic_update_january_to_february_2023.pdf,"The Saudi deposit of USD 1 billion is intended to support an economic, financial, and monetary reform programme;The Yemeni rial declined in IRG areas, reaching an average of YER 1,242 per USD 1 in January–February;Total food import volumes increased by nearly 12% in January–February 2023 compared to the previous two months;Fuel imports decreased slightly in January 2023 compared to December 2022 and increased by 9% in February 2023.","Exchange rate,Food import volumes,Fuel import volumes,Minimum Food Basket (MFB) cost,Customs duty exchange rate"
"Yemen: Bimonthly economic update",24 January 2023,https://www.acaps.org/fileadmin/Data_Product/Main_media/20230124-yemen-analysis-hub-yeti-bimonthly-economic-update-november-to-december-2022.pdf,"The Yemeni rial continued to be stable in November 2022, but a disruption in currency auctions and growing fears surrounding depleted foreign currency reserves led to the depreciation of the currency in December;The IRG increased the customs duty exchange rate on non-essential goods by 50%, from YER 500 to YER 750 per USD 1;Food imports in November–December were about 30% lower than in October;Fuel imports in November–December respectively fell to 18% and 10% lower than the 12-month moving average.","Exchange rate,Customs duty exchange rate,Food imports,Fuel imports,Food prices,Electricity,Crude oil exports"
"Ripple effects of the conflict in Ukraine: truths and myths",22 December 2022,https://www.acaps.org/fileadmin/Data_Product/Main_media/20221221_acaps_global_analysis_ripple_effects_of_the_conflict_in_ukraine_0.pdf,"The economic impact of the war in Ukraine seems exaggerated when cross-checking with data on commodity prices, inflation rates, and import dependency;Most reports overlook long-term trends and pre-existing crises;Prices of commodities like fuel and wheat flour have been rising since 2020, not just after the invasion;There is only a mild correlation between the deterioration of humanitarian crises and wheat import dependency on Russia and Ukraine.","Food prices,Food inflation,Commodity prices,Inflation rates,Wheat imports,Fuel prices,Gas prices,Wheat flour prices,Shipping costs,Insurance costs"
"Yemen: Bimonthly Economic Update September-October 2022",03 January 2023,https://www.acaps.org/fileadmin/Data_Product/Main_media/20230103_acaps_yemen_analysis_hub_yeti_bi-monthly_economic_update_september_to_october.pdf,"The value of the rial was relatively stable in September–October 2022;Food imports were 13% below the 12-month average in September but reached a record high in October (33% above average);September and October recorded the highest fuel import volumes since the same period in 2021;DFA drone attacks on oil terminals halted oil production in Shabwah.","Exchange rate,Food imports,Fuel imports,Minimum Food Basket (MFB),Wheat prices,Oil production,Economic growth,Inflation"
"Yemen: Impact of the truce on fuel supply dynamics and fuel price structures using satellite imagery and price modelling",12 September 2022,https://www.acaps.org/fileadmin/Data_Product/Main_media/20220912_acaps_yemen_analysis_hub_thematic_report_fuel_supply_dynamics.pdf,"Easing the disruption to fuel imports via Al Hodeidah port led to a sudden and huge increase in fuel import volumes via the port, with import activity returning to pre-disruption levels;The volume of fuel imports via Al Hodeidah increased from 3,000MT in March 2022 to 179,000MT in April;Aden port saw a 67% reduction in monthly average fuel imports, from 284,000MT per month in January–March 2022 to 93,000MT per month in April–June;The consumer price of fuel increased by 67% in IRG areas and 17% in DFA areas.","Fuel imports,Fuel prices,Fuel distribution costs,International oil prices,Exchange rate"
"Yemen: Global wheat supply dynamics and their impact",25 August 2022,https://www.acaps.org/fileadmin/Data_Product/Main_media/20220825_acaps_thematic_report_yah_global_wheat_supply.pdf,"There are sufficient wheat supplies in Yemen, but affordability is the main problem;International wheat prices started decreasing at the end of June 2022;Global wheat production for 2022–2023 is expected to be at 771.6 million MT (down from 779 million MT in 2021–2022);India offers the most affordable wheat, with an estimated landed cost of USD 381 per MT.","Wheat supplies,Wheat prices,Wheat production,Wheat imports,Food security,Consumer prices,Shipping costs"
"The Yemeni Financial Sector: Challenges and Opportunities for Recovery",26 July 2022,https://www.acaps.org/fileadmin/Data_Product/Main_media/20220726_acaps_yemen_analysis_hub_the_yemeni_financial_sector.pdf,"Many banks suffer from a pre-conflict reliance on Central Bank of Yemen (CBY) FX financing, large treasury bill investments, and the holding of CBY accounts frozen since 2016;The economic competition between the de-facto authority (DFA) and the Internationally Recognized Government of Yemen (IRG) has led to the fragmentation and bifurcation of key economic state-institutions, the local currency, and monetary policy, affecting the financial sector;Money exchangers grew in number and importance during the conflict and started engaging in several key financial services that Yemeni banks previously provided – particularly in terms of trade financing;A dysfunctional judicial system undermines the financial sector by making failure to abide by contract terms a low-risk activity.","Foreign exchange (FX),Treasury bill investments,Trade financing,Remittance flows,Gross domestic product (GDP),Inflation,Exchange rate,Interest rates,Nonperforming loans,Credit to the private sector"
"Yemen: The key economic incentives of peace",17 May 2022,https://www.acaps.org/fileadmin/Data_Product/Main_media/20220517_acaps_yemen_analysis_hub_key_economic_incentives_of_peace_0.pdf,"A permanent halt to war hostilities, restored fuel imports through Al Hodeidah and access to Sana’a International Airport, the removal of inland custom duties, and a renewed coordination of economic and monetary policies could generate significant incentives for the parties to accept peace over conflict;The production and export of hydrocarbons, including oil and gas, have suffered from significant setbacks since 2015;Private sector activity could also benefit from greater access to international financial markets and technical equipment;The announcement of the truce, the establishment of the Council, and the USD 2 billion set to be allocated to CBY-Aden have had positive impacts on the exchange rate in both IRG and DFA areas;Following the start of the truce, the price of petrol (gasoline) in Sana’a decreased from YER 26,000 to YER 12,000 per 20 litres.","Fuel imports,Crude oil exports,LNG exports,Exchange rate,Fuel prices,Food prices,Civilian casualties,Displacement,Customs duties,Balance of payments,Financing gap,Agricultural production,Employment,Inflation"
